text,ID,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
اهم فيه شعلله لو علي خفيف 😂 اصلاً الشعلله الزايده ذي مو عاجبتني سببت لي توتر اخاف يفوتني شي,2018-Ar-02950,False,False,False,True,False,False,False,True,False,False,False
طروب فنانه من لبنان صوت ايجابي وبيحض علي الفرح وكذا ما بعرف شو ذكرني فيا علي كل حال صباحو يا جماعه 🤗,2018-Ar-02588,False,False,False,False,True,True,True,False,False,False,False
والله بروج انتي من يوم ما اشوفك ابتسم لا شعوريا وجهك يجيب الانشكاح والتفاؤل ماشاءالله 😍 😂 💗,2018-Ar-01052,False,False,False,False,True,True,True,False,False,False,False
اللهم اني اعوذ بك من الهم و الحزن واعوذ بك من العجز و الكسل واعوذ بك من الجبن و البخل واعوذ بك من غلبه الدين وقهر الرجال,2018-Ar-03447,False,True,False,False,False,False,True,False,False,False,False
عيدكم مبارك وسعيد نبتهج بالعيد وان كان في القلب حبيب بعيد او واقع المه يزيد فلن يسرق منا سعاده العيد السعيد —,2018-Ar-03018,False,False,False,False,True,True,True,False,False,False,False
ايه لا لا لا😉😉 الفرح حيبوظ علي وحده ماتت ولا ايه😂😂🙊🙉🙈🙈😂😂 اكرم حسني ❤ الحب خفه دم 🙈🙉💚💚😂 ريح المدام,2018-Ar-02214,False,False,False,False,True,True,False,True,False,False,False
عندما غضب المصريون غضبه مضريه لفكره تخصيص مستشفي جابر للكويتيين لم ننفعل بهذا الشكل تطاول الوافدين علي صفاء الهاشم,2018-Ar-04230,True,False,True,False,False,False,False,False,False,False,False
بس ابكي واكون ضعيفه ومستسلمه وساعات يجيني خفقان قلب وانهار اهلي شكّو انه صرع,2018-Ar-03711,True,False,False,True,False,False,False,False,True,False,False
كنت متحمس لحلقه اليوم ومتحمس ايضا بمشاركه حسين عبدالرضا لاكن انصدمت فعلا بان القلب السعودي حسود يكره الحب نكدي ملقوف 👎 🏼 سيلفي ٣,2018-Ar-03189,True,False,True,False,False,False,False,False,True,False,False
ولكنني قلق دوما حيال الامور التي لم تحدث بعد تلك الامور المنتظره 💙 ღميرووღ,2018-Ar-04168,False,True,False,True,False,False,False,False,False,False,False
خايف امسح اي ورق من علي الموبيل او اعمل لحد م اشوف هعدي ف ايه وهشيل ايه 😁 مع اني مكنتش بفتحهم اصلا غير ليله الامتحان 😂😂😂,2018-Ar-01879,False,True,False,True,False,False,False,False,False,False,False
مشاعري تشكو الغياب وتقيم الحداد كلما تذكرتك يامي خيم الحزن علي قلبي وكان غيمه سوداء تصب مطرها من دموعي اه ياوجع الرحيل,2018-Ar-03854,False,False,False,False,False,False,False,False,True,False,False
بخاطري ودي اقول ومع كل غياب يسقط منا شيء اما قطعه ثقه او ربما خيبه امل,2018-Ar-01939,False,False,False,False,False,False,False,True,True,False,False
اليسا فناناتي المفضله من البوم بدي دوب 😘 و ائل كفوري و كاظم الساهر لانو يغني لنزار قباني و الباقي مود اجنبي 👻,2018-Ar-04211,False,False,False,False,True,True,False,False,False,False,False
واصلا فلسفه زايده 🙂 وش دخلك اصلا اذا انا حزينه او لا جاي تقيم حزني مثلا,2018-Ar-04282,True,False,True,False,False,False,False,False,False,False,False
مابعرفش اسيطر علي انفعالي الطفولي ودي حاجه دايما بتسببلي احراج والله 😞,2018-Ar-00904,True,False,False,False,False,False,False,False,True,False,False
تونايت يلي وجهك يعلمني معني الفرح يحسسني ان الحياه بكبرها ضحكه ثغر,2018-Ar-01731,False,False,False,False,True,True,True,False,False,False,False
كل هذاولا سال عن السبب مع ان ممكن يكون سبب تافه اودلع بنات علي قولتهم كان كل همه من اللي نزل دموعي كانت ردت فعله بس يبي ينتقم من اللي زعلني,2018-Ar-02003,True,False,False,False,False,False,False,False,True,False,False
ايش يبغون الاتراك مسوين انقلاب وقلق,2018-Ar-01262,True,False,False,False,False,False,False,False,False,False,False
اول مره يقعد مع خطيبته من الارتباك سالها اخوك الكبير احمد شنو اسمه قالت اي واحد فيهم 😂 واضح فيه توافق فكري الله يوفقهم😂,2018-Ar-01002,False,False,False,False,True,False,False,False,False,True,False
بهجه امل ٨٩امل لما اتكلم معاك احس براحه نفسيه و ما نفسي اوقف امل انت قاعده توريني الحياه من جهه ثانيه و تفتح لي افاق 💕💛🍭,2018-Ar-01213,False,False,False,False,True,True,True,False,False,False,False
ربي ادخل شهر رمضان علينا وانت راضي عنا و اجعله شهر تتبدل فيه ذنوبنا الي حسنات وهمومنا الي افراح واح منا الي واقع,2018-Ar-02299,False,False,False,False,True,True,True,False,False,False,False
السلام عليكم صباح الخير سعاده الدكتور عبدالله اشكركم علي جهودكم لتوعيتنا واهتمامكم فينا كابناكم فرحتي بنجاحي,2018-Ar-02614,False,False,False,False,True,True,False,False,False,False,False
تتوقعون وش بيصير الاحد 😎😂 دايم يبهرنا سرور بااشياءه فااباذن الله شي جميل سنابات سرور الروقي,2018-Ar-03546,False,True,False,False,True,True,True,False,False,False,False
ثلاث نقاط مهمه بالنسبه لاي شخص طلع يلي في قلبك مع شريك حياتك استمتع بحنان اهلك اصنع الابتسامه لاصدقائك☺ انس 💙,2018-Ar-01709,False,False,False,False,False,True,True,False,False,False,False
يوم اسود في تاريخ مصر احساس بالمهانه غير سبوق نواب عار هيدخلوا التاريخ من اقذر ابوابه حسبنا الله و نعم الوكيل تيران وصنافر مصريه,2018-Ar-02961,True,False,True,False,False,False,False,True,True,False,False
مفيش حاجه مبهجه انهارده غير اعلان ❤ 😂😍❤,2018-Ar-03437,False,False,False,False,True,True,False,False,True,False,False
واعشقُ الصبحَ اذا تسري نسائمهُ تعيدُ في كل روحٍ بسمه الاملِ لنا مع الصبحُ امالٌ نرجيها ونسالُ اللهِ فيهِ صالحَ العملِ صباح الخير💭💜,2018-Ar-04159,False,False,False,False,True,True,True,False,False,False,False
ترحيل مهند الفلسطيني مطلبنا بصراحه في تساهل مع الوافدين كم من اجنبي مجرم تمت محاكمته وسجنه ثم يرحل ويسمح له بالعوده الي بلدنا,2018-Ar-01975,True,False,True,False,False,False,False,True,True,False,False
والدي استودعتك الله من كل شر لقد قلقت عليك كثيرا هاهي الساعه السابعه وخمسه واربعون دقيقه وانت لم تات بعد من صلاه الفجر حفظك الله,2018-Ar-02671,False,True,False,True,False,True,True,False,False,False,False
طب انا اقسم بالله بسمع اغنيه راجعين جسمي بيقشعر حلاوه اول حلقه وانشكاح اول حلقه بكل مافيها من احاسيس متلخبطه 😍 😍,2018-Ar-03075,False,False,False,False,True,True,True,False,False,False,False
الشوق غصه وارتجافه واختناق ما لي معه حيله ولا لي فيه حيل,2018-Ar-03563,False,True,False,False,False,True,False,False,True,False,False
سعيد 🙈 😻 ربنا يسعدك دايما بالخير 🙋 ❤ وينور قلبك بالفرح والسعاده يارب دايما 💕 🍫,2018-Ar-01417,False,False,False,False,True,False,False,False,False,False,False
وابدا افتكر كل حاجه حلوه من تاني كده كميه التشويق اللي في الموضوع ده كبيره جداً واتمني يكون في حد عنده نفس الرغبه دي عشان ماحسش نفسي عبيط,2018-Ar-01570,False,True,False,False,True,True,True,False,False,False,False
ابتهاج اجتماع الحبايب والله يزيد السعاده سعاده❤️,2018-Ar-00331,False,False,False,False,True,True,True,False,False,False,False
اما خوفكم من الموت فهو اشبه بارتجاف الراعي الواقف امام الملك عندما يرفع يمينه فوق راسه لكي يكرمه وين,2018-Ar-02770,False,False,False,True,False,False,False,False,False,False,False
من جمال تويتر انو ادخل الوقت اللي ابيه واغرد باللي ابيه وم في احد يعرفني ولله الحمد مرتاحه 😎 😂 🌚 💔,2018-Ar-00074,False,False,False,False,True,True,False,False,False,False,False
كم هو مؤلم ان تسير الحياه علي هذا النحو العادي بدون امي يتخيل لي وجهها في كل مره اشعر بقسوه الحياه علي ان اشد مراره تشعر بها هي فقدان الام,2018-Ar-03374,False,False,False,False,False,False,False,False,True,False,False
الهيبه نادين نسيب نجيم ملكه الهيبه ايواااا راحت عليكي يا عليا بلش الفلم معك اسا بدن يحطوها تحت الامر الواقع 😦,2018-Ar-01491,True,False,False,False,False,False,False,False,False,False,False
اتجنب الشخص المسبب لغضبي وابتعد لما اهدا بس اذا لاصق فيني يتحمل غضبي ولايحاسبني بعدين شتسوي وقت العصبيه,2018-Ar-01152,True,False,False,False,False,False,False,False,False,False,False
مو كل بنت تقدر ترفع دعوي فيه بنات يكونون تحت ضغط وترهيب فضيع ماتقدر تتصرف اي تصرف والا يعنفونها الموضوع يقهر,2018-Ar-00491,True,False,False,False,False,False,False,False,False,False,False
يلي مفكر حالو فهمان وعامل فيها امني لفصيله ونازل ترعيب و ترهيب و طحش و مداهمات بحب قلك انك علي نهج الشبيحه القرون اشرف الك 😊,2018-Ar-04261,True,False,True,False,False,False,False,False,False,False,False
كمان دقايق و هشتم المدير بابشع الالفاظ 😡,2018-Ar-03030,True,False,False,False,False,False,False,False,False,False,False
· بتكبرين ياللي من رضا الايام جيتي يوم ميلادك فرحه عمر مو تاريخ عابر 💙,2018-Ar-03224,False,False,False,False,True,True,False,False,False,False,False
تعبت من التوتر اتمني انام واصحي بعد ماتنتهي و اشوف الثانيه عشر رافعها راموس,2018-Ar-03562,False,False,False,True,False,False,False,False,True,False,False
مناره الحدباء هذا العمل يدل ان لا ثوره عشائر كانت ولاشي وهذا التهديم وصمت عار بجبين من ادخل داعش وصفق له يذكره التاريخ للحشر والله جبناء,2018-Ar-01318,True,False,True,False,False,False,False,False,False,False,False
تتذمر شنو انت حقو تتجلد جلده في نص السوق العربي الساعه ظهراً,2018-Ar-03235,True,False,False,False,False,False,False,False,False,False,False
بعض الاغاني تدخل القلب وتبعثر كل مافيه وتصعد العقل وتبحث فيه عن الذكري المرتبطه بهذه الكلمات فيبدا يخيم علي صاحبها السكوون والمصحوب بتنهيده,2018-Ar-00299,False,False,False,False,True,False,False,False,True,False,False
ضريبه علي العربيات اللي فوق ال ١٠٠ الف هو في عربيات باقل من كده يا بهيم بعد ما غرقتوا الجنيه,2018-Ar-01874,True,False,False,False,False,False,False,True,False,False,False
اكتشفتا انو عندي فوبيا الثقوب 😢😭,2018-Ar-02429,False,False,False,True,False,False,False,False,False,False,False
التعدد ما هو الا خيانه للزوجه باسم الدين و بدون اي تانيب ضمير و اي رجل يلقب زوجته بالبرميل فلا يستحق اهتمام اي امراه,2018-Ar-04097,True,False,True,False,False,False,False,False,True,False,False
اتمني لك احلام سعيده فيني❤️,2018-Ar-01650,False,False,False,False,True,True,True,False,False,False,False
اف اف شو صاير بالخليج 😦ليش هيك هالتوتر والله اني ما عم اعرف شي من هالدنيا الا الكتب و الامتحانات 😑,2018-Ar-00899,True,True,False,False,False,False,False,False,True,False,False
يابنتي انتي المفروض تحتفلي بيا وتفرحيني وتعمليلي مفاجاه ده انا عيدميلادي قرب خالص وانتي عارفه اني مكتئبه 💔,2018-Ar-01369,False,True,False,False,True,True,False,False,True,False,False
كميه احساس وطرب زي السياره لما تعبيها فل 😍 ❤,2018-Ar-02683,False,False,False,False,True,True,True,False,False,False,False
وعليك السلام وصدقت فيما قلت ولكن هذا الشخص سخر حسابه لشتم والسب في كل من ينتمي لنادي الهلال وهذا سبب ردي عليه,2018-Ar-03635,True,False,True,False,False,False,False,False,False,False,False
قبيله حرب والله ان غضبي عليهم غضب الله علي بليس,2018-Ar-01418,True,False,False,False,False,False,False,True,False,False,False
هاذا مو انتقام وبس انتي قضيتي علي,2018-Ar-03391,True,False,True,False,False,False,False,False,True,False,False
طمني عليك اذا حسيت باي اذي بتلقلتي مع قلبك اذا بكي,2018-Ar-03835,False,False,False,False,False,True,False,False,True,False,False
يستفزوني الاشخاص اللي بتويتر ماخذين وضعيه احنا الوحيدين اللي محد يعجبنا وهم بالواقع خاتمين المجتمع يعني ما فهمت ليش اثاره الشفقه هذي,2018-Ar-00180,True,False,True,False,False,False,False,False,False,False,False
بحكي لك عجز شفت خوف انسانه حقيقيه علي امها الجده قد خوفي عليك لهالحظه هزني الموقف وكنت اضعف من انّي امسح دمعتها او الملم انكساري,2018-Ar-01945,False,False,False,True,False,False,False,False,True,False,False
😂😂😂😂 منبسطه ع شو يا عالم يا ناس ايش صايرلكم لا دين صح ولا حياه صح استغفرالله بس الله يجيرنا من الاخره,2018-Ar-03320,True,False,False,False,False,False,False,False,False,False,False
كل ماجيت اعتني في نفسي الموجوعه سببت في صدري الاحزان صوت وزحمه جعل ماجاني علي دنيا الشقا من لوعه تحتسب في الاخره تخفيف ذنب ورحمه,2018-Ar-01869,False,False,False,False,False,False,False,True,True,False,False
عن الليالي السود المخيفه كنت الاشراق السريع مدحضه كل ذعر قاتله كل نوبه ذعر ابدا لن انسي ذلك يا طهر هذه الارض و ركازها,2018-Ar-01252,False,False,False,True,False,False,False,False,True,False,False
ايه رايكم في الحيوانات اللي غضبوا علي هزيمه مصر من تونس وما تحرك لهم جفن علي بيع الجزيرتين والخيانات اللي بتم في العلن والخفاء,2018-Ar-03411,True,False,True,False,False,False,False,False,False,False,False
احتفالات عيد الرياض مو حلو عيدكم حنا احلا 🙄,2018-Ar-02122,False,False,False,False,True,False,True,False,False,False,False
⁦مرحبا انتي جميله وهناك شخص يحبك كوني سعيده دائما لان عيناك مذهله عندما تبتسمين 💘,2018-Ar-02891,False,False,False,False,True,True,True,False,False,False,False
صحيت من النوم فايق و مفيش حاجه معكره مزاجي قولت ازاي دا يبقي عيب حتي والله فتحت ال القديمه قريت فيها شويه و الحمد لله بقيت زالزفت تاني,2018-Ar-01069,True,False,False,False,False,False,False,True,True,False,False
الحمد لله ربنا يبقي يشلهم فه اديهم اﻻرهابيين واللي بيمولهم كمان يا قتله المسلمين في كل مكان,2018-Ar-00674,True,True,True,True,False,False,False,True,True,False,False
غاضب لدرجه افجر رحمك,2018-Ar-01001,True,False,False,False,False,False,False,False,False,False,False
ارغب بالهروب بعيدا ارغب بان اعيش تحت ضوء القمر لا شمس ولا اصوات ضجر ارغب بالابتعاد عن ذاتي وعن تفكيري المستمر الي هناك الي اللامفر,2018-Ar-01828,True,False,True,False,False,False,False,False,True,False,False
ميلاد الدعاء من قالها بيقين فرج الله كربه باذنه وشافاه وعافاه بل ورزقه من حيث لايحتسب وابتلاء الله تعالي للعبد ماهو الا حب ورحمه,2018-Ar-00868,False,False,False,False,False,True,True,False,False,False,False
الله يكفينا شر الغدرات,2018-Ar-00450,False,False,False,False,False,False,False,False,True,False,False
بشار الاسد يا ويلي علي ذبحته 😡,2018-Ar-02219,True,False,False,True,False,False,False,True,True,False,False
لم يخطر ان يوما نشكو منهم ونردد بين الانفاس لعلهم خيرهه صديق احباب اصحاب عتاب حزن غالي شعوري الحين يقول ضيق رمضان الفقد قصيد,2018-Ar-02328,True,False,False,False,False,False,False,False,True,False,False
لو اجتمعو ع ان يضروك بشيء لن يضروك الا بشيء قد كتبه الله لك 😍 اطمئنان,2018-Ar-03312,False,False,False,False,False,True,True,False,False,False,True
عوده اخطر معلمين في العالم وعليكم السلام ايوه صباح الانشكاح,2018-Ar-00836,False,True,False,False,True,False,True,False,False,False,False
لكبرياء ﺎن تبتسم وبداخلك عزاء,2018-Ar-00413,False,False,False,False,True,False,True,False,True,False,True
بعض الدول نكست اعلامها تضامنا مع مصر وضحايا المنيا وبعضهم اعلن الحداد الا يوجد في مصر من يتضامن مع مصر ويقول لفضائياتها عيب,2018-Ar-00496,True,False,True,False,False,False,False,False,False,False,False
يقولون ابحث عن فضولي الحقيقه ابحث عن مجنس في اي مشكله شجار الرفاع,2018-Ar-00980,True,False,True,False,False,False,False,True,False,False,False
السعاده كن مع الله ولا تحسد احدا ولا تحقد وعش ببساطه مهما علا شانك توقع خيرا مهما كثر البلاء وتعلم العطاء ولا تنتظر الرد,2018-Ar-00326,False,False,False,False,True,True,True,False,False,False,False
انا قايمه علي كابوس ابن جزمه و كذا يوم كوابيس كوابيس و قلبي واجعني و فيه اضطراب 😣 😣 بكره الكوابيس بكرهها 😖 😨,2018-Ar-03656,True,False,False,True,False,False,False,True,True,False,False
غرابييب سود لم اتابعه لكن اري الكثير ناقمين عليه ودي اتابعه علي شان انقده عمومًا انا لا اثق في,2018-Ar-04200,True,False,True,False,False,False,False,True,False,False,False
بينما نحن مطحونين في حر القاهره ونيلها وزحمتها غيرنا بيلهو ع البحر وبيصنع المجد وبيشمم فخاده هوا,2018-Ar-00982,True,True,True,False,False,False,False,True,True,False,False
المشكله عندي فطور رياجيل بس انا اذا صار عندي شغل يجيني قلق والنوم مايجيني مدري وش السواه 😬,2018-Ar-04345,False,False,False,True,False,False,False,False,True,False,False
ياجدعان انا مش عاوز حد يزعل مني وانا مش زعلان من اي حد مهم كان الاامر,2018-Ar-02045,False,False,False,False,False,True,True,False,False,False,False
صارلي شي ميه سنه مشلوحه بهالدكان ضجرت مني الحيطان و مستحيه تقول القعده في الاوضه بين الكتب و الملازم,2018-Ar-02821,True,False,False,False,False,False,False,True,True,False,False
يعني عماره الازاريطه دي مصيبه و كارثه و ناس دلوقتي قاعده في الشارع متشرده مش مجال للسف نهائي و الله بقينا شعب جبلات فشخ,2018-Ar-00120,True,False,True,False,False,False,False,False,True,False,False
دون ان يصدر اي صوت حتي ان العجوز لم تشعر به طيله مكوثه في منزلها وبعد وقت لم يجد شي يسرق ف استشاط غضب ودخل الي غرفه العجوز النائمه,2018-Ar-02034,False,False,False,False,False,False,False,False,False,False,False
نمت علي مكتبي حلمت وقمت مرتاعه 😣 زين ماقمت اركض 🙂,2018-Ar-02125,False,False,False,True,False,False,False,False,False,False,False
يتم صرف المليارات ع كره فارغهتركل بالرجل ويثورون غضبا لها ولايهمهم من نام في بلادهم جائع ويتفاخرون بقهر النساء انه الموقع الجغرافي الملعون,2018-Ar-01765,True,False,True,False,False,False,False,True,True,False,False
الخير ف اللي ربنا كاتبه يا احمد 😄,2018-Ar-01745,False,False,False,False,False,True,True,False,False,False,True
الناس مبقاش في قلبها رحمه ولا انسانيه يعني ايه واحد يخبط واحد علي البحر يروح مكمل عليه و ماشي وسايبه هو ده انسان بجد ربنا ينتقم منه,2018-Ar-02602,True,False,True,False,False,False,False,False,True,False,False
كما يتسبب استخدام دبه الصوت او الهيدرز في ازعاج الاخرين في الطريق العام او الاحياء السكنيه او دور العباده وغيرها الداخليه قطر,2018-Ar-00306,True,False,False,False,False,False,False,False,False,False,False
لما اتكلم مع حد في خططي و احلامي و طموحاتي و الاقيه مش فاهم خطوره الموقف و مش بيتكلم بجديه بشيل منه العمر كله 😅,2018-Ar-01686,True,False,False,False,False,False,False,True,True,False,False
ولقد وضعت اصبعك علي جرح نازف للامه يجعلها بما تملك من قدرات اسيره ملك او امير هرم لا يجيد الا الرقص بالسيف المرتجف بيده,2018-Ar-02461,True,False,False,False,False,False,False,False,True,False,False
